;request;pipeline
0;I have some microscopy images with labeled regions of interest, and I'd like to enhance the visualization and potentially analyze the physical dimensions associated with those regions. Can you help me build a pipeline to achieve this?;"{""description"": ""This pipeline applies advanced image filtering techniques. The main steps involve applying multiple filters to the images to enhance their quality."", ""nodes"": {""71302615-6057-49d4-bcfa-fd44c9453a8d"": {""name"": ""ij1-contrast-histogram-enhancer"", ""description"": ""Implementation of the ImageJ contrast enhancer feature that uses histograms and normalization methods.""}, ""258427cd-eb9f-4623-a0eb-99b8b305c531"": {""name"": ""ij1-binary-connected-component-labeling-3d"", ""description"": ""Applies a connected components labeling on a mask. Each connected component is assigned a unique value in the output label image. If the image is non-binary, the connected components are generated per-input value. If 3D data is supplied, the connected components are extracted in 3D.""}, ""390bb4bb-426b-45b4-b292-13570b803d48"": {""name"": ""ij1-labels-to-rgb"", ""description"": ""Visualizes a labels image by assigning a color to each label component""}, ""87ea05bf-228b-4f25-b417-abb37d6d1a65"": {""name"": ""ij1-calibration-copy-physical-dimensions"", ""description"": ""Copies the phyiscal pixel sizes from the source to the target<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""3dffa627-59d8-4e7f-b583-5882e3eec6c4"": {""name"": ""io-interface"", ""description"": ""Passes its input to its output without changes.""}, ""9a81ad36-1b1c-4d37-8dc8-b51956d644f8"": {""name"": ""ij1-roi-to-labels-name"", ""description"": ""Converts ROI and an optional reference image into a label image. The label value is provided by mapping the name to a value. If no name mapping is provided for a ROI, a unique label is generated. If no reference image is provided, the dimensions are estimated from the ROI. The background color (where no ROI is located) is zero.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""7c8318aa-c07b-4ef1-b809-d6dbe8a78d2e"": {""name"": ""ij1-color-blend-images"", ""description"": ""Overlays greyscale or RGB images.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}}, ""edges"": [{""source-node"": ""258427cd-eb9f-4623-a0eb-99b8b305c531"", ""target-node"": ""390bb4bb-426b-45b4-b292-13570b803d48"", ""source-slot"": ""Output"", ""target-slot"": ""Labels""}, {""source-node"": ""390bb4bb-426b-45b4-b292-13570b803d48"", ""target-node"": ""71302615-6057-49d4-bcfa-fd44c9453a8d"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""71302615-6057-49d4-bcfa-fd44c9453a8d"", ""target-node"": ""7c8318aa-c07b-4ef1-b809-d6dbe8a78d2e"", ""source-slot"": ""Output"", ""target-slot"": ""ROI""}, {""source-node"": ""7c8318aa-c07b-4ef1-b809-d6dbe8a78d2e"", ""target-node"": ""87ea05bf-228b-4f25-b417-abb37d6d1a65"", ""source-slot"": ""Output"", ""target-slot"": ""Target""}, {""source-node"": ""9a81ad36-1b1c-4d37-8dc8-b51956d644f8"", ""target-node"": ""258427cd-eb9f-4623-a0eb-99b8b305c531"", ""source-slot"": ""Labels"", ""target-slot"": ""Input""}]}"
1;I’m working with microscopic images and need to identify macrophages that have bacteria attached to them. I have already identified the regions of interest (ROIs) for both the macrophages and the bacteria. Is it possible to build a pipeline that can help me pinpoint which macrophages have adherent bacteria?;"{""description"": ""This pipeline filters ROI lists to identify macrophages with adherent bacteria, with the main objective of detecting macrophages that have bacteria attached to them. The pipeline starts with the input of macrophage ROIs and bacteria ROIs, applies the ROI filter by overlap algorithm, and ends with the output of macrophages with adherent bacteria."", ""nodes"": {""c0e914a8-715d-4c35-8b1e-4676c8a04f0a"": {""name"": ""ij1-roi-filter-by-overlap"", ""description"": ""Filters the ROI lists by testing for mutual overlap. The ROI1 output contains all ROI1 input ROI that overlap with any of ROI2. The ROI2 output contains all ROI2 input ROI that overlap with a ROI1 ROI.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""5bb80c76-a3fe-4d1c-871c-091bc35547cb"": {""name"": ""ij1-roi-filter-by-overlap"", ""description"": ""Filters the ROI lists by testing for mutual overlap. The ROI1 output contains all ROI1 input ROI that overlap with any of ROI2. The ROI2 output contains all ROI2 input ROI that overlap with a ROI1 ROI.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""635f05ac-e9a3-4ad2-932a-dde786fcf5b8"": {""name"": ""ij1-roi-filter-by-overlap"", ""description"": ""Filters the ROI lists by testing for mutual overlap. The ROI1 output contains all ROI1 input ROI that overlap with any of ROI2. The ROI2 output contains all ROI2 input ROI that overlap with a ROI1 ROI.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}}, ""edges"": [{""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""5bb80c76-a3fe-4d1c-871c-091bc35547cb"", ""source-slot"": ""Macrophage ROIs"", ""target-slot"": ""ROI 1""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""c0e914a8-715d-4c35-8b1e-4676c8a04f0a"", ""source-slot"": ""Macrophage ROIs"", ""target-slot"": ""ROI 1""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""635f05ac-e9a3-4ad2-932a-dde786fcf5b8"", ""source-slot"": ""Macrophage ROIs"", ""target-slot"": ""ROI 1""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""c0e914a8-715d-4c35-8b1e-4676c8a04f0a"", ""source-slot"": ""Bacteria ROIs"", ""target-slot"": ""ROI 2""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""5bb80c76-a3fe-4d1c-871c-091bc35547cb"", ""source-slot"": ""Bacteria ROIs"", ""target-slot"": ""ROI 2""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""635f05ac-e9a3-4ad2-932a-dde786fcf5b8"", ""source-slot"": ""Bacteria ROIs"", ""target-slot"": ""ROI 2""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""5bb80c76-a3fe-4d1c-871c-091bc35547cb"", ""source-slot"": ""Substack"", ""target-slot"": ""Reference""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""c0e914a8-715d-4c35-8b1e-4676c8a04f0a"", ""source-slot"": ""Substack"", ""target-slot"": ""Reference""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""635f05ac-e9a3-4ad2-932a-dde786fcf5b8"", ""source-slot"": ""Substack"", ""target-slot"": ""Reference""}]}"
2;I have several regions of interest identified in my images, and I need to extract information about them and consolidate it into a single annotation for each image. Can you help me build a pipeline to do that?;"{""description"": ""This pipeline extracts properties from ROI lists and stores them as annotations, allowing for optional de-duplication, before setting a single annotation based on determined expressions."", ""nodes"": {""99ab777e-9eb0-49a1-8359-f4adc8ed526d"": {""name"": ""annotate-set-single"", ""description"": ""Sets a single annotation. The name and the value are determined by expressions""}, ""d4925c9c-577c-4663-b01a-91a9ca448706"": {""name"": ""ij1-roi-to-annotations"", ""description"": ""Extracts properties of the ROI lists and stores them into annotations. This will create a list of annotation values if there are multiple ROI per list, unless you choose the option to only return the first entry. By default, one value per ROI is generated. Enable de-duplication to disable this behavior.""}}, ""edges"": [{""source-node"": ""d4925c9c-577c-4663-b01a-91a9ca448706"", ""target-node"": ""99ab777e-9eb0-49a1-8359-f4adc8ed526d"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}]}"
3;I have image data with tracked objects, and I’d like a way to visualize both the individual spots and their movement over time. Can you help me create a pipeline to display this information effectively?;"{""description"": ""This pipeline visualizes image data by grouping incoming information based on annotations, allowing for the processing and display of tracks and spots within the images, ultimately producing a visual representation of the data."", ""nodes"": {""df5227e6-3b64-4b39-9c14-72278078aaa6"": {""name"": ""trackmate-visualize-tracks"", ""description"": ""Visualizes tracks<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""c2f77656-f722-44ab-95b2-64012cbf0d28"": {""name"": ""trackmate-visualize-spots"", ""description"": ""Visualizes spots<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}}, ""edges"": [{""source-node"": ""c2f77656-f722-44ab-95b2-64012cbf0d28"", ""target-node"": ""df5227e6-3b64-4b39-9c14-72278078aaa6"", ""source-slot"": ""Output"", ""target-slot"": ""Image""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""c2f77656-f722-44ab-95b2-64012cbf0d28"", ""source-slot"": ""Tracks"", ""target-slot"": ""Spots""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""df5227e6-3b64-4b39-9c14-72278078aaa6"", ""source-slot"": ""Tracks"", ""target-slot"": ""Tracks""}, {""source-node"": ""35ba3543-193a-4047-b794-285b0c03fa2d"", ""target-node"": ""c2f77656-f722-44ab-95b2-64012cbf0d28"", ""source-slot"": ""Raw"", ""target-slot"": ""Image""}]}"
4;I have a table of data and need to perform some calculations on it. Specifically, I need to remove certain columns from the table based on their names, and then apply a calculation to each row using values from the remaining columns. Could you help me build a pipeline to do this?;"{""description"": ""This pipeline removes columns by name from a table and applies an expression per row. The main steps include removing columns by name and applying an expression per row."", ""nodes"": {""6db70f1b-d2ba-4a02-9ad6-7481e3f9301a"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""96b554ca-475e-4700-b47f-d692126f2f62"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""170ff0ed-2c3a-45c1-bcd1-441bb1d6dae5"": {""name"": ""table-apply-expression-per-row-v2"", ""description"": ""Applies an expression for each row. The column values are available as variables.""}, ""3b23d774-3df6-446a-b842-15589482ba8d"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""a9abd72f-3324-4aab-84c9-4343ddb74a3b"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""bf8aa75e-446a-4bfc-9433-e8b1e33d12b1"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""2c671024-8450-4049-be53-282234c7150c"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""994b2186-196a-47b0-a55b-8299b5860fd0"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}}, ""edges"": [{""source-node"": ""a9abd72f-3324-4aab-84c9-4343ddb74a3b"", ""target-node"": ""2c671024-8450-4049-be53-282234c7150c"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""bf8aa75e-446a-4bfc-9433-e8b1e33d12b1"", ""target-node"": ""96b554ca-475e-4700-b47f-d692126f2f62"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""3b23d774-3df6-446a-b842-15589482ba8d"", ""target-node"": ""6db70f1b-d2ba-4a02-9ad6-7481e3f9301a"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""96b554ca-475e-4700-b47f-d692126f2f62"", ""target-node"": ""a9abd72f-3324-4aab-84c9-4343ddb74a3b"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""994b2186-196a-47b0-a55b-8299b5860fd0"", ""target-node"": ""170ff0ed-2c3a-45c1-bcd1-441bb1d6dae5"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""2c671024-8450-4049-be53-282234c7150c"", ""target-node"": ""994b2186-196a-47b0-a55b-8299b5860fd0"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""6db70f1b-d2ba-4a02-9ad6-7481e3f9301a"", ""target-node"": ""bf8aa75e-446a-4bfc-9433-e8b1e33d12b1"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}]}"
5;I have some tabular data that needs to be cleaned and transformed. I need a pipeline that can selectively remove specific columns from these tables, and then apply some custom modifications to the remaining data. Could you help me build that?;"{""description"": ""This pipeline appears to perform a series of data processing operations, specifically removing columns from tables and modifying them through custom scripts, ultimately resulting in transformed tables after passing through multiple filtering and modification steps."", ""nodes"": {""cf616205-fe5e-4b9a-b355-f713677dd15f"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""0795d64a-ecda-42e9-ac52-e7c55dade186"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""f578fe7d-6167-44f0-b11a-1050c4ffc962"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""103d159f-424f-4d9b-a45b-6b5fec8c6991"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""6dc397e7-5d3f-4e20-906b-bfaa63dd377e"": {""name"": ""modify-tables"", ""description"": ""Executes a Python-script for each table. Each table is passed as dictionary 'table' with the column name as key and values being an array of strings or doubles. The number of input rows can be accessed via the 'nrow' variable.""}, ""25ad4dcd-72cf-4862-a784-b77e3423e36f"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}}, ""edges"": [{""source-node"": ""cf616205-fe5e-4b9a-b355-f713677dd15f"", ""target-node"": ""f578fe7d-6167-44f0-b11a-1050c4ffc962"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""0795d64a-ecda-42e9-ac52-e7c55dade186"", ""target-node"": ""25ad4dcd-72cf-4862-a784-b77e3423e36f"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""f578fe7d-6167-44f0-b11a-1050c4ffc962"", ""target-node"": ""0795d64a-ecda-42e9-ac52-e7c55dade186"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""103d159f-424f-4d9b-a45b-6b5fec8c6991"", ""target-node"": ""cf616205-fe5e-4b9a-b355-f713677dd15f"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""25ad4dcd-72cf-4862-a784-b77e3423e36f"", ""target-node"": ""6dc397e7-5d3f-4e20-906b-bfaa63dd377e"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}]}"
6;I have some microscopy images and I need a pipeline that will calibrate them, add a scale bar for reference, and then export the results in a common image format. I'd also like to be able to generate an overlay and compartment output for further analysis if possible.;"{""description"": ""This pipeline processes incoming images by applying various operations, including calibration and annotation-based grouping, to ultimately export the results in a non-native format, while also generating an overlay output and a compartment output, allowing for further analysis and visualization of the processed data."", ""nodes"": {""fbd51b8a-22f3-4021-9471-a07b3f8ddfdd"": {""name"": ""iji-export-image-v2"", ""description"": ""Exports incoming images into a non-JIPipe format (PNG, JPEG, BMP, AVI, TIFF). Please note support for input images depending on the file format: <ul><li>PNG, JPEG, BMP: 2D images only</li><li>AVI: 2D or 3D images only</li><li>TIFF: All images supported</li></ul><br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""124b925b-54e4-4a7d-bd81-229e00662043"": {""name"": ""ij1-calibration-copy-physical-dimensions"", ""description"": ""Copies the phyiscal pixel sizes from the source to the target<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""714f1d72-e573-4ffc-9108-d9d5b934d32e"": {""name"": ""iji-export-image-v2"", ""description"": ""Exports incoming images into a non-JIPipe format (PNG, JPEG, BMP, AVI, TIFF). Please note support for input images depending on the file format: <ul><li>PNG, JPEG, BMP: 2D images only</li><li>AVI: 2D or 3D images only</li><li>TIFF: All images supported</li></ul><br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""c01b7d9f-5be2-4aee-a1f7-4a3bc7f07c15"": {""name"": ""ij1-calibration-draw-scale-bar"", ""description"": ""Draws a scale bar onto the image (via an overlay ROI)""}}, ""edges"": [{""source-node"": ""c01b7d9f-5be2-4aee-a1f7-4a3bc7f07c15"", ""target-node"": ""714f1d72-e573-4ffc-9108-d9d5b934d32e"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""124b925b-54e4-4a7d-bd81-229e00662043"", ""target-node"": ""c01b7d9f-5be2-4aee-a1f7-4a3bc7f07c15"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""c01b7d9f-5be2-4aee-a1f7-4a3bc7f07c15"", ""target-node"": ""fbd51b8a-22f3-4021-9471-a07b3f8ddfdd"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}]}"
7;I have some data representing spots detected in microscopic images, and I'd like to analyze the relationships between these spots. Specifically, I need to calculate some statistical measurements based on how these spots are grouped, and how they relate to each other in two dimensions. Can you help me build a pipeline to do this?;"{""description"": ""This pipeline processes image data by first converting specific image features into a region of interest (ROI), and then extracts pairwise statistics from these ROIs in two dimensions, grouping the data based on annotations to calculate various statistical measures."", ""nodes"": {""6d30c68f-8849-4891-bd93-eca41b9a042e"": {""name"": ""ij1-roi-relation-2d"", ""description"": ""Extracts all pairwise statistics between the 2D ROI<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.""}, ""18fcdd22-4365-4cdc-933a-3c05a77bfb22"": {""name"": ""trackmate-spots-to-roi"", ""description"": ""Converts TrackMate spots into ROI""}}, ""edges"": [{""source-node"": ""18fcdd22-4365-4cdc-933a-3c05a77bfb22"", ""target-node"": ""6d30c68f-8849-4891-bd93-eca41b9a042e"", ""source-slot"": ""Output"", ""target-slot"": ""ROI 2""}, {""source-node"": ""18fcdd22-4365-4cdc-933a-3c05a77bfb22"", ""target-node"": ""6d30c68f-8849-4891-bd93-eca41b9a042e"", ""source-slot"": ""Output"", ""target-slot"": ""ROI 1""}]}"
8;I need a JIPipe pipeline that will allow me to export my data to a file. Can you help me set something up for that?;"{""description"": ""This pipeline exports data by parameter, it starts with the io-interface node and ends with the export-data-by-parameter-v2 node, which saves the output to a file."", ""nodes"": {""3b432927-a4a5-49aa-98a5-3b214e0933dd"": {""name"": ""export-data-by-parameter-v2"", ""description"": ""Exports the input data via JIPipe's standard exporter. The output is the directory that contains the generated file(s).""}, ""1ab0c8e2-f7ad-4be7-aa01-fa041f7cab5f"": {""name"": ""io-interface"", ""description"": ""Passes its input to its output without changes.""}}, ""edges"": [{""source-node"": ""3b432927-a4a5-49aa-98a5-3b214e0933dd"", ""target-node"": ""1ab0c8e2-f7ad-4be7-aa01-fa041f7cab5f"", ""source-slot"": ""Output path"", ""target-slot"": ""Data""}]}"
9;I have a table of data and need to remove several columns from it. Could you help me build a pipeline to do that?;"{""description"": ""Removes one or multiple columns by name from a table. This pipeline starts with '6194d4b0-f62c-422f-a4d2-73e02e00be88' node, which represents the input table, then it is processed by '7ebf7e30-563d-4c30-b13a-d506a99e336a', '980ce2eb-df41-43ed-9f8a-0d75b6fac90f', and 'cb199793-4b0d-49fd-9954-9c67385c8440' nodes to remove columns, finally ending at 'a9f0183f-cd12-4075-9964-94757b013c6a' node."", ""nodes"": {""6194d4b0-f62c-422f-a4d2-73e02e00be88"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""a9f0183f-cd12-4075-9964-94757b013c6a"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""cb199793-4b0d-49fd-9954-9c67385c8440"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""980ce2eb-df41-43ed-9f8a-0d75b6fac90f"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}, ""7ebf7e30-563d-4c30-b13a-d506a99e336a"": {""name"": ""table-remove-columns"", ""description"": ""Removes one or multiple columns by name""}}, ""edges"": [{""source-node"": ""cb199793-4b0d-49fd-9954-9c67385c8440"", ""target-node"": ""a9f0183f-cd12-4075-9964-94757b013c6a"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""980ce2eb-df41-43ed-9f8a-0d75b6fac90f"", ""target-node"": ""cb199793-4b0d-49fd-9954-9c67385c8440"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""7ebf7e30-563d-4c30-b13a-d506a99e336a"", ""target-node"": ""980ce2eb-df41-43ed-9f8a-0d75b6fac90f"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}, {""source-node"": ""6194d4b0-f62c-422f-a4d2-73e02e00be88"", ""target-node"": ""7ebf7e30-563d-4c30-b13a-d506a99e336a"", ""source-slot"": ""Output"", ""target-slot"": ""Input""}]}"
