model,average_tool_calls,tool_call_rate,tool_call_schema_validity_rate,tool_call_success_rate,tool_call_ratio,pipeline_presence_rate,pipeline_schema_validity_rate,correct_nodes,share_of_nodes_from_expected
Qwen3-0.6B,"{'average': np.float64(0.6756756756756757), 'median': np.float64(0.0), 'std': np.float64(0.9671371532477238), 'calls': [3, 0, 3, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 6, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 5, 0, 0, 0, 1, 1, 4, 1, 0, 0, 2, 0, 0, 1, 0, 2, 0, 2, 2, 0, 0, 1, 1, 0, 2, 1, 0, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 2]}",1.0,0.9747619047619048,0.9747619047619048,0.0708193445243805,0.9391891891891891,0.0,0.10368731563421828,
Nanbeige4-3B-Thinking-2511,"{'average': np.float64(5.2534246575342465), 'median': np.float64(4.0), 'std': np.float64(3.949703723647824), 'calls': [25, 11, 3, 2, 8, 4, 2, 6, 6, 7, 1, 4, 6, 2, 3, 5, 5, 4, 3, 3, 2, 0, 0, 5, 12, 10, 7, 18, 5, 7, 6, 4, 6, 8, 3, 5, 4, 8, 7, 6, 10, 12, 7, 14, 3, 12, 8, 5, 5, 0, 10, 7, 6, 25, 4, 4, 9, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 13, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 17, 3, 3, 3, 3, 17, 3, 3, 3, 3, 3, 3, 3, 3, 17, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 4, 6, 4, 6, 6, 6, 2, 4, 6, 6, 6, 2, 6, 6, 6, 6, 2, 2, 6]}",1.0,0.996969696969697,0.996969696969697,0.1619047619047619,0.0410958904109589,0.16666666666666666,0.6666666666666666,
Qwen3-8B,"{'average': np.float64(10.212121212121213), 'median': np.float64(10.0), 'std': np.float64(4.4044805636774775), 'calls': [14, 9, 7, 10, 8, 6, 14, 12, 7, 11, 18, 8, 6, 5, 4, 6, 3, 11, 8, 6, 7, 5, 3, 5, 23, 15, 8, 5, 20, 14, 12, 11, 7, 18, 7, 12, 5, 8, 6, 9, 16, 14, 5, 7, 10, 12, 10, 10, 5, 8, 20, 12, 25, 10, 6, 11, 9, 12, 13, 12, 10, 21, 14, 13, 12, 7, 10, 3, 3, 13, 9, 10, 13, 10, 17, 15, 3, 10, 9, 14, 8, 4, 9, 10, 8, 11, 9, 14, 15, 9, 13, 7, 14, 9, 12, 11, 12, 9, 11]}",1.0,0.9873737373737373,0.9873737373737373,0.18209774627466702,0.98989898989899,0.22448979591836735,0.9261741122565863,
BitAgent-Bounty-8B,"{'average': np.float64(0.0), 'median': np.float64(0.0), 'std': np.float64(0.0), 'calls': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",1.0,,,,0.0,0.0,,
Qwen3-0.6B_supervised,"{'average': np.float64(0.6), 'median': np.float64(1.0), 'std': np.float64(0.5830951894845301), 'calls': [0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2]}",1.0,0.9772727272727273,0.9772727272727273,0.13208020050125313,0.95,0.0,0.30654761904761907,0.14285714285714285
Nanbeige4-3B-Thinking-2511_supervised,"{'average': np.float64(5.8), 'median': np.float64(6.0), 'std': np.float64(3.171750305430741), 'calls': [2, 5, 7, 10, 3, 6, 3, 3, 3, 0, 2, 2, 4, 9, 12, 7, 9, 6, 8, 0, 3, 6, 10, 6, 4, 10, 9, 2, 12, 6, 5, 8, 6, 11, 6, 4, 9, 7, 5, 2]}",1.0,0.9889306599832914,0.9889306599832914,0.21104497354497354,0.3,0.4166666666666667,0.9097222222222222,0.6666666666666666
Qwen3-8B_supervised,"{'average': np.float64(0.0), 'median': np.float64(0.0), 'std': np.float64(0.0), 'calls': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",1.0,,,,0.0,0.0,,
BitAgent-Bounty-8B_supervised,"{'average': np.float64(0.0), 'median': np.float64(0.0), 'std': np.float64(0.0), 'calls': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",1.0,,,,0.0,0.0,,
Qwen3-0.6B_react,"{'average': np.float64(1.9027777777777777), 'median': np.float64(2.0), 'std': np.float64(0.5441538340044371), 'calls': [2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 0, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 3, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 3, 1, 3, 2, 2, 1, 4, 2, 3, 2, 2, 1, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]}",1.0,0.986013986013986,0.9929577464788732,0.2936722436722436,0.2569444444444444,0.16216216216216217,0.5693693693693693,
Nanbeige4-3B-Thinking-2511_react,"{'average': np.float64(1.9444444444444444), 'median': np.float64(2.0), 'std': np.float64(0.5241100628920335), 'calls': [2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 1, 2, 4, 1, 4, 2, 2, 2, 3, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 3, 2, 2, 2, 2, 2, 3, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2]}",1.0,0.9872685185185186,0.9872685185185186,0.34173553719008265,0.8472222222222222,0.5245901639344263,0.9724517906336088,
